Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
A Microservice-Based Architecture for the Development of Accessible; Crowdsensing-Based Mobility Platforms,A. Melis; S. Mirri; C. Prandi; M. Prandini; P. Salomoni,NA; NA; NA; NA; NA,2016 International Conference on Collaboration Technologies and Systems (CTS),,2016,,,498,505,,,,10.1109/CTS.2016.0093,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7871031,smart city;accessible and smart mobility;crowd-sensing;crowdsourcing;service oriented architecture,Sensors;Prototypes;Crowdsourcing;Context;Accelerometers;Smart cities,crowdsourcing;mobile computing;service-oriented architecture;smart cities,microservice-based architecture;accessible-crowdsensing-based mobility platforms;vertical approach;urban barrier detection;accessible route planning;smart city,,,,,,,,,IEEE,IEEE Conferences,
Making the move to microservice architecture,A. Koschel; I. Astrova; J. Dötterl,Faculty IV; Department of Computer Science; University of Applied Sciences and Arts; Hannover; Germany; Department of Software Science; School of IT; Tallinn University of Technology; Tallinn; Estonia; Faculty IV; Department of Computer Science; University of Applied Sciences and Arts; Hannover; Germany,2017 International Conference on Information Society (i-Society),,2017,,,74,79,,,,10.23919/i-Society.2017.8354675,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8354675,monolithycal architecture;microservice architecture;large software projects,Computer architecture;Companies;Software;Servers;Web pages;Databases,project management;service-oriented architecture;software management,microservice architecture;software projects;on-demand scalability,,,,,,,,,IEEE,IEEE Conferences,
Auto-scaling microservices on IaaS under SLA with cost-effective framework,I. Prachitmutita; W. Aittinonmongkol; N. Pojjanasuksakul; M. Supattatham; P. Padungweang,King Mongkut's University of Technology Thonburi Bangkok; Thailand; King Mongkut's University of Technology Thonburi Bangkok; Thailand; King Mongkut's University of Technology Thonburi Bangkok; Thailand; King Mongkut's University of Technology Thonburi Bangkok; Thailand; King Mongkut's University of Technology Thonburi Bangkok; Thailand,2018 Tenth International Conference on Advanced Computational Intelligence (ICACI),,2018,,,583,588,,,,10.1109/ICACI.2018.8377525,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377525,Auto-scaling;MicroSerivce;IaaS;Predictable;Machine-Learning,Cloud computing;Servers;Computer architecture;Business;Time factors;Optimization;Containers,cloud computing;contracts;recurrent neural nets;resource allocation;service-oriented architecture,scale server;SLA;auto-scaling microservices;IaaS;cost-effective framework;Monolithic architecture;Microservices architecture;cost effective way;auto-scaling framework;artificial neural network;recurrent neural network;resource scaling optimization algorithm;automated system;service level agreement;FIFA World Cup 98 Website,,,,,,,,,IEEE,IEEE Conferences,
Revenue oriented air quality prediction microservices for smart cities,S. Benedict,Indian Institute of Information Technology Kottayam,2017 International Conference on Advances in Computing; Communications and Informatics (ICACCI),,2017,,,437,442,,,,10.1109/ICACCI.2017.8125879,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8125879,Air quality;Revenue model;Random forests;Prediction algorithm,Air quality;Urban areas;Cloud computing;Prediction algorithms;Atmospheric modeling;Monitoring;Radio frequency,air pollution;air quality;atmospheric composition;clouds;diseases,air pollution control;oriented cloud microservice;air quality prediction model;prediction query;random forest;integrated high end ICT technology;different cities;air quality parameters;cloud microservice based air quality prediction framework;air quality monitoring;air pollution;city authorities;city residents;revenue oriented air quality prediction microservices;mongodb based cloud database,,,,,,,,,IEEE,IEEE Conferences,
Containerized Development and Microservices for Self-Driving Vehicles: Experiences & Best Practices,C. Berger; B. Nguyen; O. Benderius,NA; NA; NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,7,12,,,,10.1109/ICSAW.2017.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958428,,Software;Cameras;Sensors;Containers;Software architecture;Hardware;Best practices,automobile industry;automotive engineering;intelligent transportation systems;service-oriented architecture;software engineering,self-driving vehicles;containerized software microservices;software development;software architecture;Docker ecosystem;complex automotive software systems,,,,,,,,,IEEE,IEEE Conferences,
BigVM: A Multi-Layer-Microservice-Based Platform for Deploying SaaS,T. Zheng; Y. Zhang; X. Zheng; M. Fu; X. Liu,NA; NA; NA; NA; NA,2017 Fifth International Conference on Advanced Cloud and Big Data (CBD),,2017,,,45,50,,,,10.1109/CBD.2017.16,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8026911,,Software as a service;Containers;Engines;Computer architecture;Resource management;Servers,cloud computing;software fault tolerance;virtual machines,BigVM;multilayer-microservice-based platform;SaaS;software-as-a-service;multitenancy;microservice-oriented deployment kits;fault tolerance;sysbench;Docker containers,,,,,,,,,IEEE,IEEE Conferences,
Challenges of Domain-Driven Microservice Design: A Model-Driven Perspective,F. Rademacher; J. Sorgalla; S. Sachweh,Dortmund University of Applied Sciences and Arts; Dortmund University of Applied Sciences and Arts; Dortmund University of Applied Sciences and Arts,IEEE Software,,2018,35,3,36,43,,,,10.1109/MS.2018.2141028,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8354426,microservices;domain-driven design;DDD;model-driven development;MDD;microservice architecture;service engineering;domain-specific architectures;modeling of computer architecture;software engineering;software development,Unified modeling language;Context modeling;Software engineering;Logic gates;Service computing;Software architecture,formal specification;object-oriented programming;software architecture,domain-driven design;software design;domain concepts;microservice design;domain knowledge;domain-driven microservice design;microservice architecture design;model-driven development;functional microservices;model-driven methodology,,,,,,,,,IEEE,IEEE Journals & Magazines,
FPGA-Based System for the Acceleration of Cloud Microservices,J. Lallet; A. Enrici; A. Saffar,Nokia Bell-Labs France; Software Defined Mobile Network; Nozay; France; Nokia Bell-Labs France; Software Defined Mobile Network; Nozay; France; Nokia Bell-Labs France; Software Defined Mobile Network; Nozay; France,2018 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB),,2018,,,1,5,,,,10.1109/BMSB.2018.8436912,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8436912,FPGA;Cloud;Microservice;Acceleration,Field programmable gate arrays;Acceleration;Cloud computing;Servers;Containers;Computer architecture,cloud computing;computer centres;field programmable gate arrays;open systems,FPGA-based system;concurrent acceleration;cloud-native microservices;cloud microservices;interoperability;modularity;cloud computing;legacy data center;atomic network services;cloud architectures;virtual machines;low resources footprint applications;computation-intensive applications;Field Programmable Gate Arrays boards;cloud-standard processing resources;cloud data centers;concurrent microservices,,,,,,,,,IEEE,IEEE Conferences,
Research on designing an integrated electric power marketing information system based on microapplications and microservices architecture,H. Lin; J. Zhao; Y. Jiao; J. Cao; H. Ouyang; B. Yuan; G. Xiong,State Grid Information & Telecommunication Group Co.; Ltd.; Beijing; China; State Grid Information & Telecommunication Group Co.; Ltd.; Beijing; China; Maintenance Branch; State Grid Liaoning Electric Power Supply Co.; Ltd.; Shenyang; China; Marketing Department; State Grid Hunan Electric Power Company; Changsha; China; State Grid Information & Telecommunication Group Co.; Ltd.; Beijing; China; State Grid Information & Telecommunication Group Co.; Ltd.; Beijing; China; State Grid Information & Telecommunication Group Co.; Ltd.; Beijing; China,2018 IEEE 3rd International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),,2018,,,600,607,,,,10.1109/ICCCBDA.2018.8386586,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8386586,microapplications;microservices;distributed service bus;data analysis domain;data processing domain;electric power marketing;information system,Business;Power systems;Information systems;Access control;Computer architecture;Distributed databases;Data communication,information systems;marketing;power markets;power system economics,integrated electric power marketing information system;microapplications;microservices architecture;multiple inter-system interfaces;diverse data replication approaches;multiple data transmission channels;current electric power marketing business application system;electric power marketing services;integrated electric power marketing business information system;application access layer;microservices layer;data resource layer;diversified interface technologies;microapplications layer;basic platform layer;technical architecture;interface interactions;design method,,,,,,,,,IEEE,IEEE Conferences,
SmartVM: A Multi-Layer Microservice-Based Platform for Deploying SaaS,X. Zheng; J. Jiang; Y. Zhang; Y. Deng; M. Fu; T. Zheng; X. Liu,NA; NA; NA; NA; NA; NA; NA,2017 IEEE International Symposium on Parallel and Distributed Processing with Applications and 2017 IEEE International Conference on Ubiquitous Computing and Communications (ISPA/IUCC),,2017,,,470,474,,,,10.1109/ISPA/IUCC.2017.00077,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367307,Microservice;Cloud Computing;Docker;Deployment;SOA;Software as a Service,Containers;Monitoring;Business;Software as a service;Australia;Scalability;Measurement,cloud computing;cost reduction;electronic commerce;optimisation;resource allocation;virtual machines,multilayer microservice;Software-as-a-Service;SaaS developer;multitenancy;on-demand dynamic scaling;multiple tenants;multitier microservice;e-commerce SaaS prototype;SmartVM deployments;microservice deployments;resource optimization;SaaS solutions;smart monitoring;cost reduction,,,,,,,,,IEEE,IEEE Conferences,
Towards a microservices development approach for the crisis management field in developing countries,D. Idoughi; K. A. Abdelouhab; C. Kolski,Univ. Abderrahmane Mira of Bejaia; Bejaia; 06000; Algeria; Univ. Abderrahmane Mira of Bejaia; Bejaia; 06000; Algeria; LAMIH-UMR CNRS 8201; Univ. Valenciennes and Hainaut-Cambrésis; F-59313 Valenciennes 9; France,2017 4th International Conference on Information and Communication Technologies for Disaster Management (ICT-DM),,2017,,,1,6,,,,10.1109/ICT-DM.2017.8275679,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8275679,Microservice;monolith;architecture;framework;SOA;Service design;software;crisis management,Crisis management;Organizations;Computer architecture;Service-oriented architecture;Collaboration,emergency management;service-oriented architecture,IT assets;service oriented architecture;service designers/developers;business processes;developing countries;crisis management field;microservices development approach;microservices based software systems,,,,,,,,,IEEE,IEEE Conferences,
An open IoT framework based on microservices architecture,L. Sun; Y. Li; R. A. Memon,College of Computer Science; Sichuan University; Chengdu 610064; China; College of manufacturing Science and Engineering; Sichuan University; Chengdu 610064; China.; School of Computer Science; University of Engineering Science and Technology; Chengdu 610064; China; Department of Computer Science; Sukkur Institute of Business Administration; Sukkur; Sindh; Pakistan,China Communications,,2017,14,2,154,162,,,,10.1109/CC.2017.7868163,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7868163,,,Internet of Things;open systems;software architecture;systems analysis,microservices architecture;Internet of Things;IoT;monolithic application;system design;core service;device communication;interoperability support,,,,,,,,,IEEE,IEEE Journals & Magazines,
Consistent Disaster Recovery for Microservices: the CAB Theorem,G. Pardon; C. Pautasso,NA; NA,IEEE Cloud Computing,,2018,PP,99,1,1,,,,10.1109/MCC.2017.455154634,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237165,distributed database recovery;Microservices;consistency vs. availability tradeoffs,Computer architecture;Cloud computing;Object recognition;Distributed databases;Computer crashes,,,,,,,,,,,IEEE,IEEE Early Access Articles,
Serverless Computing: An Investigation of Factors Influencing Microservice Performance,W. Lloyd; S. Ramesh; S. Chinthalapati; L. Ly; S. Pallickara,NA; NA; NA; NA; NA,2018 IEEE International Conference on Cloud Engineering (IC2E),,2018,,,159,169,,,,10.1109/IC2E.2018.00039,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360324,Resource Management and Performance;Serverless Computing;Function-as-a-Service;Provisioning Variation,Containers;Cloud computing;Load management;Elasticity;Servers;Operating systems;Fault tolerance,cloud computing;resource allocation;virtual machines,serverless computing platforms;hosting costs;fault tolerance;dynamic elasticity;individual functions;microservices;virtual machines;operating system containers;cloud server capacity;cloud providers;service demand;influence microservice performance;infrastructure elasticity;load balancing;infrastructure retention;serverless infrastructure including;infrastructure-as-a-service;infrastructure management;serverless computing environments;FaaS;IaaS;VM,,,,,,,,,IEEE,IEEE Conferences,
CPN-Based Verifying Long-Running Transactions Atomicity in Microservice Environment,I. Artamonov,Baikal State University; Irkutsk; Russia,2018 3rd Russian-Pacific Conference on Computer Technology and Applications (RPC),,2018,,,1,6,,,,10.1109/RPC.2018.8482150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8482150,microservice;long-running transaction;business process;atomicity;Coloured Petri Net,Protocols;Petri nets;Task analysis;Software;Databases;Manuals,,,,,,,,,,,IEEE,IEEE Conferences,
Microservice-Based IoT for Smart Buildings,K. Khanda; D. Salikhov; K. Gusmanov; M. Mazzara; N. Mavridis,NA; NA; NA; NA; NA,2017 31st International Conference on Advanced Information Networking and Applications Workshops (WAINA),,2017,,,302,308,,,,10.1109/WAINA.2017.77,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7929694,Internet of Things;IoT;microservice;Jolie;Smart Buildings;Java;Sensors;SensorTag;Arduino;Raspberry Pi;Connection protocols;service-oriented programming,Smart buildings;Robot sensing systems;Intelligent sensors;Java;Cloud computing,building management systems;distributed processing;Internet of Things;programming languages,microservice-based IoT;smart buildings;Internet of Things;concurrent applications;advanced sensor network;distributed microservices architecture;Jolie programming language;academic building environment,,,,,,,,,IEEE,IEEE Conferences,
Optimizing the Performance of a Microservice-Based Application Deployed on User-Provided Devices,B. Stévant; J. Pazat; A. Blanc,NA; NA; NA,2018 17th International Symposium on Parallel and Distributed Computing (ISPDC),,2018,,,133,140,,,,10.1109/ISPDC2018.2018.00027,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8452030,Edge Computing;Performance modelization;QoS-aware placement;Particle Swarm Optimization;Microservice application design,Performance evaluation;Time factors;Quality of service;Cloud computing;Task analysis;Bandwidth,,,,,,,,,,,IEEE,IEEE Conferences,
Consistent Disaster Recovery for Microservices: the BAC Theorem,G. Pardon; C. Pautasso; O. Zimmermann,Atomikos; Universit&#xE0; della Svizzera italiana; Lugano; Switzerland; Hochschule f&#xFC;r Technik Rapperswil,IEEE Cloud Computing,,2018,5,1,49,59,,,,10.1109/MCC.2018.011791714,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8327550,distributed database recovery;enterprise computing;microservices service design;information systems,Databases;Computer architecture;Cloud computing;Computer crashes;Couplings;Computational modeling;Business,,,,,,,,,,,IEEE,IEEE Journals & Magazines,
A microservice based reference architecture model in the context of enterprise architecture,Yale Yu; H. Silveira; M. Sundaram,Xi'an Peihua University; 710125; China; Infosys Australia; Melbourne; Australia; Infosys Australia; Melbourne; Australia,2016 IEEE Advanced Information Management; Communicates; Electronic and Automation Control Conference (IMCEC),,2016,,,1856,1860,,,,10.1109/IMCEC.2016.7867539,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7867539,service oriented architecture;microservice;API;enterprise architecture;domain driven design;domain architecture;API gateway;API platform,Measurement;Context;Sensors;Runtime;Routing;Visualization;Rats,application program interfaces;business data processing;information systems;service-oriented architecture,enterprise microservice;reference architecture model;enterprise architecture;enterprise IT transformation architecture;application program interface;API;service-oriented architecture;SOA,,,,,,,,,IEEE,IEEE Conferences,
Towards microservices architecture to transcode videos in the large at low costs,O. Barais; J. Bourcier; Y. Bromberg; C. Dion,University of Rennes 1; IRISA; INRIA Bretagne Atlantique; University of Rennes 1; IRISA; INRIA Bretagne Atlantique; University of Rennes 1; IRISA; INRIA Bretagne Atlantique; B-COM; Rennes; France,2016 International Conference on Telecommunications and Multimedia (TEMU),,2016,,,1,6,,,,10.1109/TEMU.2016.7551918,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7551918,,Videos;Transcoding;Cloud computing;Containers;Streaming media;Servers,cloud computing;Internet;transcoding;video coding,video transcoding;microservice architecture;Internet;adequate transcoding workflow;video streaming;software engineering domain;ad hoc cloud computing;Raspberry Pis,,,,,,,,,IEEE,IEEE Conferences,
Microservices Scheduling Model Over Heterogeneous Cloud-Edge Environments As Support for IoT Applications,I. Filip; F. Pop; C. Serbanescu; C. Choi,Computer Science Department; University Politehnica of Bucharest; Bucharest; Romania; Computer Science Department; University Politehnica of Bucharest; Bucharest; Romania; Department of Mathematical Methods and Models; University Politehnica of Bucharest; Bucharest; Romania; IT Research Institute; Chosun University; Gwangju; South Korea,IEEE Internet of Things Journal,,2018,5,4,2672,2681,,,,10.1109/JIOT.2018.2792940,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8255573,Cloud computing;edge computing;energy efficiency;heterogeneous systems;microservice scheduling,Computational modeling;Cloud computing;Internet of Things;Mathematical model;Processor scheduling;Computer architecture,cloud computing;Internet of Things;processor scheduling,microservices scheduling model;heterogeneous cloud-edge environments;IoT applications;nongeneral purpose devices;computational objectives;scheduling microservices;heterogeneous machines;early risk-analysis;CloudSim simulation framework;scheduling architecture;experimental results;microservice-oriented approach;mathematical formulation;scheduling algorithms;cloud-edge environments,,,,,,,,,IEEE,IEEE Journals & Magazines,
A Systematic Mapping Study in Microservice Architecture,N. Alshuqayran; N. Ali; R. Evans,NA; NA; NA,2016 IEEE 9th International Conference on Service-Oriented Computing and Applications (SOCA),,2016,,,44,51,,,,10.1109/SOCA.2016.15,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7796008,,Computer architecture;Service-oriented architecture;Systematics;Conferences;Security;Business,service-oriented architecture,systematic mapping;microservice architecture;software development;software architectural styles;software architectural design;online service providers;architectural diagrams;architectural views;quality attributes;microsevice systems,,,,,,,,,IEEE,IEEE Conferences,
Benchmark Requirements for Microservices Architecture Research,C. M. Aderaldo; N. C. Mendonça; C. Pahl; P. Jamshidi,NA; NA; NA; NA,2017 IEEE/ACM 1st International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering (ECASE),,2017,,,8,13,,,,10.1109/ECASE.2017.4,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7968049,Microservices;software architecture;research benchmark,Benchmark testing;Tools;Software;Containers;Software engineering;Computer architecture,benchmark testing;formal specification;software architecture,benchmark requirements;microservice architecture research;distributed applications;lightweight mechanisms;community-owned architecture benchmark,,,,,,,,,IEEE,IEEE Conferences,
Load Balancing Across Microservices,Y. Niu; F. Liu; Z. Li,Key Laboratory of Services Computing Technology and System; Ministry of Education; School of Computer Science and Technology; Huazhong University of Science and Technology; Key Laboratory of Services Computing Technology and System; Ministry of Education; School of Computer Science and Technology; Huazhong University of Science and Technology; University of Calgary; Canada,IEEE INFOCOM 2018 - IEEE Conference on Computer Communications,,2018,,,198,206,,,,10.1109/INFOCOM.2018.8486300,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486300,,Load management;Time factors;Containers;Computer architecture;Load modeling;Conferences;Logic gates,,,,,,,,,,,IEEE,IEEE Conferences,
Automated Setup of Multi-cloud Environments for Microservices Applications,G. Sousa; W. Rudametkin; L. Duchien,NA; NA; NA,2016 IEEE 9th International Conference on Cloud Computing (CLOUD),,2016,,,327,334,,,,10.1109/CLOUD.2016.0051,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820288,multi-cloud;microservices;cloud management;variability management;software product lines,Cloud computing;Databases;Ontologies;Scalability;Gears;Buildings,cloud computing;software architecture,microservices applications;multicloud environments;multicloud computing;location regulations;microservice architectures,,,,,,,,,IEEE,IEEE Conferences,
Gremlin: Systematic Resilience Testing of Microservices,V. Heorhiadi; S. Rajagopalan; H. Jamjoom; M. K. Reiter; V. Sekar,NA; NA; NA; NA; NA,2016 IEEE 36th International Conference on Distributed Computing Systems (ICDCS),,2016,,,57,66,,,,10.1109/ICDCS.2016.11,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7536505,Microservices;Failure-recovery testing,Testing;Systematics;Runtime;Cloud computing;Standards;Power system faults;Power system protection,Internet;program testing;software fault tolerance,Gremlin;systematic microservice resilience testing;Internet applications;microservice-based architecture;accelerated software life cycle;language runtimes;production infrastructures;microservice failure-handling capabilities;message-exchange patterns;interservice messages;network layer;failure-handling code,,,,,,,,,IEEE,IEEE Conferences,
Microservices validation: Mjolnirr platform case study,D. I. Savchenko; G. I. Radchenko; O. Taipale,South Ural State University; Chelyabinsk; Russia; South Ural State University; Chelyabinsk; Russia; Lappeenranta University of Technology; Finland,2015 38th International Convention on Information and Communication Technology; Electronics and Microelectronics (MIPRO),,2015,,,235,240,,,,10.1109/MIPRO.2015.7160271,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7160271,Microservices;Services Oriented Architecture;Cloud computing;PaaS;testing;validation,Testing;Computer architecture;Security;Service-oriented architecture;ISO standards;IEC standards,cloud computing;software architecture,microservices validation;Mjolnirr platform case study;cloud application design pattern,,,,,,,,,IEEE,IEEE Conferences,
CIDE: An Integrated Development Environment for Microservices,D. Liu; H. Zhu; C. Xu; I. Bayley; D. Lightfoot; M. Green; P. Marshall,NA; NA; NA; NA; NA; NA; NA,2016 IEEE International Conference on Services Computing (SCC),,2016,,,808,812,,,,10.1109/SCC.2016.112,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7557534,Integrated Software Development Environment (IDE);Microservices;Service-Oriented Architectures;Agent-Oriented Programming;Programming Languages and Tools,Computers;Testing;Virtual machining;Computer architecture;Cloud computing;Programming,cloud computing;object-oriented languages;object-oriented programming;program testing;software agents;software architecture,CIDE;integrated development environment;microservices;architectural style;cloud-based applications;software system;Caste-centric agent-oriented programming language and environment;cluster environment;DevOps software development methodology;continuous testing;seamless integration,,,,,,,,,IEEE,IEEE Conferences,
From Monolith to Microservices: A Dataflow-Driven Approach,R. Chen; S. Li; Z. Li,NA; NA; NA,2017 24th Asia-Pacific Software Engineering Conference (APSEC),,2017,,,466,475,,,,10.1109/APSEC.2017.53,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305969,microservices;monolith;decomposition;data flow;business logic,Business;Computer architecture;Service-oriented architecture;Complexity theory;Data mining;Electronic mail,data flow computing;service-oriented architecture,agile practitioner communities;independently deployable microservices;monolithic application;microservice-based software systems;analysis approach;virtual abstract dataflow;microservice identification mechanism;business requirement analysis;dataflow-driven approach;multiple small-scale microservices;microservice identification tool;microservice candidates;dataflow-driven decomposition algorithm,,,,,,,,,IEEE,IEEE Conferences,
Online machine learning for cloud resource provisioning of microservice backend systems,H. Alipour; Y. Liu,Concordia University; Electronic and Computer Engineering; Montreal; Canada; Concordia University; Electronic and Computer Engineering; Montreal; Canada,2017 IEEE International Conference on Big Data (Big Data),,2017,,,2433,2441,,,,10.1109/BigData.2017.8258201,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258201,Auto-scaling;Cloud Computing;Machine learning,Predictive models;Cloud computing;Unified modeling language;Training;Monitoring;Measurement;Data models,cloud computing;decision making;learning (artificial intelligence);pattern clustering,cloud resource provisioning;microservice backend systems;scaling policy;microservice architecture;monitoring metrics;machine learning algorithms;Netflix workload benchmark application;self-managing cloud data services;variant workload;online machine learning;resource demand;workload pattern learning;decision making,,,,,,,,,IEEE,IEEE Conferences,
An NFV and microservice based architecture for on-the-fly component provisioning in content delivery networks,N. T. Jahromi; R. H. Glitho; A. Larabi; R. Brunner,CIISE; Concordia University; Montreal; QC; Canada; CIISE; Concordia University; Montreal; QC; Canada; Ericsson; Montreal; QC; Canada; Ericsson; Montreal; QC; Canada,2018 15th IEEE Annual Consumer Communications & Networking Conference (CCNC),,2018,,,1,7,,,,10.1109/CCNC.2018.8319227,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8319227,Content Delivery Network;CDN;Network Function Virtualization;NFV;Microservice;Architecture;on-the-fly component provisioning,Servers;Computer architecture;Hardware;Videos;Internet;Conferences;Network function virtualization,Internet;virtualisation;Web services,NFV;microservice based architecture;content delivery networks;geographically distributed end-users;flash crowds;on-the-fly CDN component provisioning;CDN components;CDN surrogate server;network function virtualization;virtual network functions,,,,,,,,,IEEE,IEEE Conferences,
Research on building an innovative electric power marketing business application system based on cloud computing and microservices architecture technologies,Hong Lin; Jiakui Zhao; Yi Jiao; Jing Cao; Hong Ouyang; Hongwang Fang; Bao Yuan,State Grid Information &amp; Telecommunication Group Co.; Ltd.; Beijing; China; State Grid Information &amp; Telecommunication Group Co.; Ltd.; Beijing; China; Maintenance Branch; State Grid Liaoning Electric Power Supply Co.; Ltd.; Shenyang; China; Marketing Department; State Grid Hunan Electric Power Company; Changsha; China; State Grid Information &amp; Telecommunication Group Co.; Ltd.; Beijing; China; State Grid Information &amp; Telecommunication Group Co.; Ltd.; Beijing; China; State Grid Information &amp; Telecommunication Group Co.; Ltd.; Beijing; China,2017 IEEE 2nd International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),,2017,,,246,253,,,,10.1109/ICCCBDA.2017.7951919,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7951919,electric power marketing;cloud computing;microservices architecture;SaaS;PaaS;IaaS;horizontal scaling;distributed service bus,Computer architecture;Monitoring;Servers;Business;Reliability,cloud computing;marketing data processing,independent deployment;decentralization;componentization;servitization;microservices architecture;SaaS;full-link monitoring;gray distribution;fault self-healing;flexible scaling;cloud service center;information integration;data processing;PaaS;IT resource elastic management;distributed infrastructures;IaaS;business processing;monolithic architecture;concentrated infrastructure;microservices architecture technologies;cloud computing;innovative electric power marketing business application system,,,,,,,,,IEEE,IEEE Conferences,
Experience on a Microservice-Based Reference Architecture for Measurement Systems,M. Vianden; H. Lichter; A. Steffens,NA; NA; NA,2014 21st Asia-Pacific Software Engineering Conference,,2014,1,,183,190,,,,10.1109/APSEC.2014.37,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7091309,Reference Architecture;Microservice;SOA;Field Study;Measurement System,Measurement;Electromagnetic interference;Computer architecture;Data visualization;Kernel;Logic gates;Monitoring,measurement systems;service-oriented architecture,microservice-based reference architecture;measurement systems;enterprise measurement infrastructures;EMI,,,,,,,,,IEEE,IEEE Conferences,
Microservices Architecture Based Cloudware Deployment Platform for Service Computing,D. Guo; W. Wang; G. Zeng; Z. Wei,NA; NA; NA; NA,2016 IEEE Symposium on Service-Oriented System Engineering (SOSE),,2016,,,358,363,,,,10.1109/SOSE.2016.22,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7473049,Cloud computing;Cloudware;Container;Micro-service;PaaS,Cloud computing;Containers;Computer architecture;Rendering (computer graphics);Virtualization;Servers,cloud computing;software architecture;software maintenance,microservice architecture;cloudware deployment platform;service computing;cloud computing;software development;software maintenance;software deployment;cloudware PaaS platform,,,,,,,,,IEEE,IEEE Conferences,
Deployment orchestration of microservices with geographical constraints for Edge computing,M. Villari; A. Celesti; G. Tricomi; A. Galletta; M. Fazio,Department of Engineering; University of Messina; Italy; Department of Engineering; University of Messina; Italy; Department of Engineering; University of Messina; Italy; Department of Engineering; University of Messina; Italy; Department of Engineering; University of Messina; Italy,2017 IEEE Symposium on Computers and Communications (ISCC),,2017,,,633,638,,,,10.1109/ISCC.2017.8024599,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024599,Cloud computing;edge Computing;microservices;deployment;orchestration,Cloud computing;Edge computing;Heating systems;Elasticity;Computers;Computer architecture;Topology,cloud computing;parallel processing,microservices deployment orchestration;geographical constraints;high-performance processing;Horizon 2020 BEACON project;federated cloud-networking;fog computing environments;edge computing distributed services;geolocation deployment;Orchestration Broker;ad-hoc OpenStack-based heat orchestraton template service;HOT microservice,,,,,,,,,IEEE,IEEE Conferences,
